#separator:tab
#html:true
#columns:Front	Back	Tags
Front	Back	Tags
Strong face for the team vs confession I owe God. Two seats - order?	Answer upward first - then lead outward honestly.<br><br><a href="https://www.jorap.com/notes/follow-christ-then-lead/">Read note: Follow Christ, Then Lead</a>	jorap-notes Eternal Principles Obedience
Org-chart pressure and kingdom command pulling opposite ways. First move?	Kingdom first - lead from that footing.<br><br><a href="https://www.jorap.com/notes/follow-christ-then-lead/">Read note: Follow Christ, Then Lead</a>	jorap-notes Eternal Principles Obedience
Praying while nursing a grudge - words stuck in my throat. What's the move?	Forgive those who wrong me.<br><br><a href="https://www.jorap.com/notes/forgiveness/">Read note: Forgiveness</a>	jorap-notes Eternal Principles Ethics
Wronged and refusing to forgive before I sleep. What breaks?	Closeness with God - forgive from the heart.<br><br><a href="https://www.jorap.com/notes/forgiveness/">Read note: Forgiveness</a>	jorap-notes Eternal Principles Ethics
Same person hurt me again - tempted to stop counting. What's the move?	Forgive again - stop counting.<br><br><a href="https://www.jorap.com/notes/forgiveness/">Read note: Forgiveness</a>	jorap-notes Eternal Principles Ethics
Hurt still stings - forgiving feels like pretending it didn't matter. What's the move anyway?	Release debt - forgiving isn&#x27;t pretending.<br><br><a href="https://www.jorap.com/notes/forgiveness/">Read note: Forgiveness</a>	jorap-notes Eternal Principles Ethics
Repeat offender apologizes again. What's the move?	Forgive heart; keep boundaries.<br><br><a href="https://www.jorap.com/notes/forgiveness/">Read note: Forgiveness</a>	jorap-notes Eternal Principles Ethics
I was forgiven much but choking someone over pocket change. What's my move?	Forgive - release the small debt.<br><br><a href="https://www.jorap.com/notes/forgiveness/">Read note: Forgiveness</a>	jorap-notes Eternal Principles Ethics
Friend at coffee lists good deeds as their heaven ticket. What do I trust for eternal life?	Christ&#x27;s promise - grace through faith.<br><br><a href="https://www.jorap.com/notes/free-grace/">Read note: Free Grace</a>	jorap-notes Eternal Principles Faith
Good week makes me feel qualified for heaven. Correct the order - what saves, what follows?	Faith saves first. Obedience follows.<br><br><a href="https://www.jorap.com/notes/free-grace/">Read note: Free Grace</a>	jorap-notes Eternal Principles Faith
Head says I must perform before God accepts me. Entry point?	Trust Christ - not my performance.<br><br><a href="https://www.jorap.com/notes/free-grace/">Read note: Free Grace</a>	jorap-notes Eternal Principles Faith
Tempted to list my works when someone asks how to be saved. Lead with what?	Grace through faith in Christ.<br><br><a href="https://www.jorap.com/notes/free-grace/">Read note: Free Grace</a>	jorap-notes Eternal Principles Faith
A kid behaving extra well right before his birthday, hoping to earn the presents. What's true about the gift?	Already decided - not earned by behavior.<br><br><a href="https://www.jorap.com/notes/free-grace/">Read note: Free Grace</a>	jorap-notes Eternal Principles Faith
Ugly week and panic that fruit proves I never belonged. What do I rest on?	Christ&#x27;s promise - fruit may back up, never grounds.<br><br><a href="https://www.jorap.com/notes/free-grace/">Read note: Free Grace</a>	jorap-notes Eternal Principles Faith
Friend says grace means sin freely with no cost. What's still true?	Destiny settled - discipline, fellowship, reward still real.<br><br><a href="https://www.jorap.com/notes/free-grace/">Read note: Free Grace</a>	jorap-notes Eternal Principles Faith
Obedience after conversion - what's driving it?	Live gratefully - grace already saved.<br><br><a href="https://www.jorap.com/notes/free-grace/">Read note: Free Grace</a>	jorap-notes Eternal Principles Faith
Correction with my kid - volume up, love thinned. What's the move?	Drop volume - strength under control.<br><br><a href="https://www.jorap.com/notes/gentleness/">Read note: Gentleness</a>	jorap-notes Eternal Principles Fruit
Group project and I am grasping for status credit. What's the move?	Serve - do not strut for the spotlight.<br><br><a href="https://www.jorap.com/notes/gentleness/">Read note: Gentleness</a>	jorap-notes Eternal Principles Fruit
Foot-washing feels below my role - status over serve. What comes first?	Serve first - don&#x27;t grasp greatness.<br><br><a href="https://www.jorap.com/notes/gentleness/">Read note: Gentleness</a>	jorap-notes Eternal Principles Fruit
Sacrifice story ready to post for applause. One check before send?	Humble - let the Father get credit.<br><br><a href="https://www.jorap.com/notes/gentleness/">Read note: Gentleness</a>	jorap-notes Eternal Principles Fruit
Kid melted down publicly - embarrassment tempting sharp correction. What's the move?	Lower voice - strength under control.<br><br><a href="https://www.jorap.com/notes/gentleness/">Read note: Gentleness</a>	jorap-notes Eternal Principles Fruit
Team praise landing on me for their work - thumb on self-congratulation. What's the move?	Redirect praise - wash feet, don&#x27;t strut.<br><br><a href="https://www.jorap.com/notes/gentleness/">Read note: Gentleness</a>	jorap-notes Eternal Principles Fruit
Hard hour coming - I want an easy out, not the cup. What's the move?	Pray - glorify Your name, not skip the cup.<br><br><a href="https://www.jorap.com/notes/glorify-your-name/">Read note: Glorify Your Name</a>	jorap-notes Eternal Principles Jesus Prayers
Soul troubled before a costly yes - finger on decline. What's the move?	Father, glorify Your name.<br><br><a href="https://www.jorap.com/notes/glorify-your-name/">Read note: Glorify Your Name</a>	jorap-notes Eternal Principles Jesus Prayers
Tempted to protect my reputation when obedience will cost. What comes first?	Father&#x27;s glory first - not my comfort.<br><br><a href="https://www.jorap.com/notes/glorify-your-name/">Read note: Glorify Your Name</a>	jorap-notes Eternal Principles Jesus Prayers
Prayer feels like bargaining for escape - dread building. What's the move?	Father glorified - even through the cross.<br><br><a href="https://www.jorap.com/notes/glorify-your-name/">Read note: Glorify Your Name</a>	jorap-notes Eternal Principles Jesus Prayers
Crowd watching as the fork arrives - stage fright on me. What's the move?	Trust His answer - glorify again.<br><br><a href="https://www.jorap.com/notes/glorify-your-name/">Read note: Glorify Your Name</a>	jorap-notes Eternal Principles Jesus Prayers
Choosing visible sacrifice over hidden ease - shortcut tempting. What comes first?	Glorify Your name - before I say yes.<br><br><a href="https://www.jorap.com/notes/glorify-your-name/">Read note: Glorify Your Name</a>	jorap-notes Eternal Principles Jesus Prayers
Youth event looked great in photos but nobody prayed afterward. First cut?	Drop one performance block - make room to pray.<br><br><a href="https://www.jorap.com/notes/god-centered-design/">Read note: God Centered Design</a>	jorap-notes Eternal Principles Priorities
Notes garden chasing traffic instead of clarity. One question before publish?	Does this help someone know Christ or live like Him?<br><br><a href="https://www.jorap.com/notes/god-centered-design/">Read note: God Centered Design</a>	jorap-notes Eternal Principles Priorities
Ministry calendar packed and I'm too tired to pray. One check?	Who does this schedule ultimately serve?<br><br><a href="https://www.jorap.com/notes/god-centered-design/">Read note: God Centered Design</a>	jorap-notes Eternal Principles Priorities
Side project feels like my kingdom now. Steward reframe?	Borrowed platform - faithful use, not my brand.<br><br><a href="https://www.jorap.com/notes/god-centered-design/">Read note: God Centered Design</a>	jorap-notes Eternal Principles Priorities
People-pleasing the room instead of obeying God - room sets the aim. What's the move?	Aim at God first - neighbor-love follows.<br><br><a href="https://www.jorap.com/notes/god-centered-design/">Read note: God Centered Design</a>	jorap-notes Eternal Principles Priorities
Tuesday calendar full before Scripture opened. What comes first?	Design the week for God&#x27;s glory - then the rest.<br><br><a href="https://www.jorap.com/notes/god-centered-design/">Read note: God Centered Design</a>	jorap-notes Eternal Principles Priorities
Extra water for the bench - almost posted about it. Who gets glory?	Father - not my brand.<br><br><a href="https://www.jorap.com/notes/goodness/">Read note: Goodness</a>	jorap-notes Eternal Principles Fruit
Good deed done but I want credit in the caption. Who gets glory?	Shine so God gets credit.<br><br><a href="https://www.jorap.com/notes/goodness/">Read note: Goodness</a>	jorap-notes Eternal Principles Fruit
Hiding help from false modesty when it should point up. Who should get credit?	Let it shine - glorify the Father.<br><br><a href="https://www.jorap.com/notes/goodness/">Read note: Goodness</a>	jorap-notes Eternal Principles Fruit
Practicing righteousness for the audience in the room - applause is the fuel. What's the move?	Father&#x27;s glory - not applause.<br><br><a href="https://www.jorap.com/notes/goodness/">Read note: Goodness</a>	jorap-notes Eternal Principles Fruit
Hiding help from false modesty - light should point up. What's the move?	Let it shine - Father gets glory.<br><br><a href="https://www.jorap.com/notes/goodness/">Read note: Goodness</a>	jorap-notes Eternal Principles Fruit
Good deed draft ready - caption asking for applause. What's the move?	Post nothing - Father saw it.<br><br><a href="https://www.jorap.com/notes/goodness/">Read note: Goodness</a>	jorap-notes Eternal Principles Fruit
I keep calling mercy and grace the same thing when someone asks what God did for me. Split them?	Mercy spared wrath - grace gave the gift.<br><br><a href="https://www.jorap.com/notes/grace/">Read note: Grace</a>	jorap-notes Eternal Principles Faith
Good week makes me feel like God owes me a favor. What kind of favor am I standing on?	Favor I never earned - gift through faith.<br><br><a href="https://www.jorap.com/notes/grace/">Read note: Grace</a>	jorap-notes Eternal Principles Faith
Obedience after conversion - what's driving it?	Live gratefully - the gift already landed.<br><br><a href="https://www.jorap.com/notes/grace/">Read note: Grace</a>	jorap-notes Eternal Principles Faith
Head says perform before God accepts me. Entry point?	Trust Christ - not my report card.<br><br><a href="https://www.jorap.com/notes/grace/">Read note: Grace</a>	jorap-notes Eternal Principles Faith
Bad week and panic that heaven access revoked. What still holds?	Standing settled - confess, keep walking.<br><br><a href="https://www.jorap.com/notes/grace/">Read note: Grace</a>	jorap-notes Eternal Principles Faith
Friend says God only helps those who help themselves. One sentence back?	Gift through faith - not wages for deeds.<br><br><a href="https://www.jorap.com/notes/grace/">Read note: Grace</a>	jorap-notes Eternal Principles Faith
Obeying hard this week so I can feel saved again after snapping. What's driving it?	Grace already saved - obey from thanks.<br><br><a href="https://www.jorap.com/notes/grateful-obedience/">Read note: Grateful Obedience</a>	jorap-notes Eternal Principles Sanctification
Grace clear in my head, zero change in how I treat people at the desk. What's missing?	Grateful walk - do what He said today.<br><br><a href="https://www.jorap.com/notes/grateful-obedience/">Read note: Grateful Obedience</a>	jorap-notes Eternal Principles Sanctification
Bible study high, same sin pattern untouched. Hearing without doing - first fix?	Obey gratefully - act today.<br><br><a href="https://www.jorap.com/notes/grateful-obedience/">Read note: Grateful Obedience</a>	jorap-notes Eternal Principles Sanctification
Kid asks why I do the hard right thing if heaven is already settled. Lead with what?	Thanks - grace already saved.<br><br><a href="https://www.jorap.com/notes/grateful-obedience/">Read note: Grateful Obedience</a>	jorap-notes Eternal Principles Sanctification
Holiness streak broke and I quit trying. Wrong order in my head?	Saved first - get back up, obey from grace.<br><br><a href="https://www.jorap.com/notes/grateful-obedience/">Read note: Grateful Obedience</a>	jorap-notes Eternal Principles Sanctification
Carrying the hard yes today only to feel qualified for heaven. Correct the motive?	Faith saves - cross shapes daily thanks.<br><br><a href="https://www.jorap.com/notes/grateful-obedience/">Read note: Grateful Obedience</a>	jorap-notes Eternal Principles Sanctification
Notes garden full, gospel never leaves my mouth. What's the move?	Share truth - don&#x27;t hoard like bookmarks.<br><br><a href="https://www.jorap.com/notes/great-commission/">Read note: Great Commission</a>	jorap-notes Eternal Principles Discipleship
Someone asks how to follow Jesus - I lecture systems not gospel. Lead with?	Trust Christ - then teach obedience.<br><br><a href="https://www.jorap.com/notes/great-commission/">Read note: Great Commission</a>	jorap-notes Eternal Principles Discipleship
Baptize and teach feels like someone else's job. What's the move?	Go yourself - He is with you.<br><br><a href="https://www.jorap.com/notes/great-commission/">Read note: Great Commission</a>	jorap-notes Eternal Principles Discipleship
Obedience teaching skipped because grace saved them. What's missing?	Teach obedience - following after faith.<br><br><a href="https://www.jorap.com/notes/great-commission/">Read note: Great Commission</a>	jorap-notes Eternal Principles Discipleship
Afraid to speak up at work about faith. What's the move?	Speak anyway - He is with you.<br><br><a href="https://www.jorap.com/notes/great-commission/">Read note: Great Commission</a>	jorap-notes Eternal Principles Discipleship
Truth hoarded in private study, zero disciples made. What's the move?	Go make disciples - don&#x27;t hoard the garden.<br><br><a href="https://www.jorap.com/notes/great-commission/">Read note: Great Commission</a>	jorap-notes Eternal Principles Discipleship
Political rage thread rotting patience with my kids - scroll still open. What comes first?	Mute thread - Scripture before scroll tonight.<br><br><a href="https://www.jorap.com/notes/guard-your-heart/">Read note: Guard Your Heart</a>	jorap-notes Eternal Principles Obedience
Shows until midnight - hollow before six a.m. prayer again. What's the move?	Hard stop at ten - guard the spring.<br><br><a href="https://www.jorap.com/notes/guard-your-heart/">Read note: Guard Your Heart</a>	jorap-notes Eternal Principles Obedience
Clean week streak treating guarding like heaven's price tag - wrong motive?	Wisdom after salvation - not entry fee.<br><br><a href="https://www.jorap.com/notes/guard-your-heart/">Read note: Guard Your Heart</a>	jorap-notes Eternal Principles Obedience
Eyes and ears fed garbage - worship and anger both downstream. What's the move?	Guard intake - poison at the source.<br><br><a href="https://www.jorap.com/notes/guard-your-heart/">Read note: Guard Your Heart</a>	jorap-notes Eternal Principles Obedience
Renewed mind starving - feeds still ungated after a week of rage bait. What's the move?	Filter eyes and ears - then Scripture fills.<br><br><a href="https://www.jorap.com/notes/guard-your-heart/">Read note: Guard Your Heart</a>	jorap-notes Eternal Principles Obedience
Performance outside looks fine - motive inside starving. What comes first?	Guard the heart - inside counts first.<br><br><a href="https://www.jorap.com/notes/guard-your-heart/">Read note: Guard Your Heart</a>	jorap-notes Eternal Principles Obedience
Anger simmering after traffic - treated them fine outwardly. What's the move?	Name the anger - deal with it before it grows.<br><br><a href="https://www.jorap.com/notes/heart-righteousness/">Read note: Heart Righteousness</a>	jorap-notes Eternal Principles Ethics
Lust logged mentally while marriage looks fine outside. What's the move?	Cut it off at the thought - don&#x27;t feed it.<br><br><a href="https://www.jorap.com/notes/heart-righteousness/">Read note: Heart Righteousness</a>	jorap-notes Eternal Principles Ethics
Polished Sunday face, nursing grudge Monday - motions without heart. What's missing?	Heart first - drop the performance.<br><br><a href="https://www.jorap.com/notes/heart-righteousness/">Read note: Heart Righteousness</a>	jorap-notes Eternal Principles Ethics
About to send cold reply while sounding righteous. One inner check?	Check the motive - don&#x27;t send from anger.<br><br><a href="https://www.jorap.com/notes/heart-righteousness/">Read note: Heart Righteousness</a>	jorap-notes Eternal Principles Ethics
Performing good works while resentment runs inside. What's the move?	Confess the resentment - God sees motive.<br><br><a href="https://www.jorap.com/notes/heart-righteousness/">Read note: Heart Righteousness</a>	jorap-notes Eternal Principles Ethics
Tempted to excuse inner sin because nobody saw. Who sees?	God sees - start where only He looks.<br><br><a href="https://www.jorap.com/notes/heart-righteousness/">Read note: Heart Righteousness</a>	jorap-notes Eternal Principles Ethics
Grasping for status in a group project. What's the move?	Serve all - last becomes first.<br><br><a href="https://www.jorap.com/notes/humility-and-service/">Read note: Humility and Service</a>	jorap-notes Eternal Principles Obedience
Waiting to be served at home after serving at church. What's the gap?	Serve here too - same kingdom ladder.<br><br><a href="https://www.jorap.com/notes/humility-and-service/">Read note: Humility and Service</a>	jorap-notes Eternal Principles Obedience
Foot-washing feels below my role - status over serve. What's the move?	Serve, not be served - wash feet.<br><br><a href="https://www.jorap.com/notes/humility-and-service/">Read note: Humility and Service</a>	jorap-notes Eternal Principles Obedience
Visibility became the goal in ministry. What beats pride?	Humble self - let God exalt.<br><br><a href="https://www.jorap.com/notes/humility-and-service/">Read note: Humility and Service</a>	jorap-notes Eternal Principles Obedience
Tempted to exalt myself in a story about my sacrifice. One check?	Humble - don&#x27;t grab the spotlight.<br><br><a href="https://www.jorap.com/notes/humility-and-service/">Read note: Humility and Service</a>	jorap-notes Eternal Principles Obedience
Leadership seat felt like the win. What's the move?	Serve everyone - don&#x27;t grab the title.<br><br><a href="https://www.jorap.com/notes/humility-and-service/">Read note: Humility and Service</a>	jorap-notes Eternal Principles Obedience
Fear of dying alone at night - chest tight in the dark. What's the move?	Father, into Your hands I commit my spirit.<br><br><a href="https://www.jorap.com/notes/into-your-hands/">Read note: Into Your Hands</a>	jorap-notes Eternal Principles Jesus Prayers
Everything hurts and control is gone - panic rising. What's the move?	Commit my spirit - trust the Father.<br><br><a href="https://www.jorap.com/notes/into-your-hands/">Read note: Into Your Hands</a>	jorap-notes Eternal Principles Jesus Prayers
Anxiety spike feels like the end - can't catch my breath. What's the move?	Into Your hands - entrust, don&#x27;t panic.<br><br><a href="https://www.jorap.com/notes/into-your-hands/">Read note: Into Your Hands</a>	jorap-notes Eternal Principles Jesus Prayers
Said not my will in the garden - cross moment arriving. What's the move?	Into Your hands - same Father as the garden.<br><br><a href="https://www.jorap.com/notes/into-your-hands/">Read note: Into Your Hands</a>	jorap-notes Eternal Principles Jesus Prayers
Bedside vigil - they're slipping and I'm wordless. What's the move?	Father, into Your hands.<br><br><a href="https://www.jorap.com/notes/into-your-hands/">Read note: Into Your Hands</a>	jorap-notes Eternal Principles Jesus Prayers
Trying to control every outcome as life narrows. What's the move?	Commit spirit - Father holds it.<br><br><a href="https://www.jorap.com/notes/into-your-hands/">Read note: Into Your Hands</a>	jorap-notes Eternal Principles Jesus Prayers
Chasing bigger audience, neglecting three faithful people - metrics up. What comes first?	Depth with the few first.<br><br><a href="https://www.jorap.com/notes/invest-in-the-few/">Read note: Invest in the Few</a>	jorap-notes Eternal Principles Jesus Rhythms
Quarterly all-hands, never ate with the core four - broadcast only. What's the move?	Eat with the few - disproportionate time.<br><br><a href="https://www.jorap.com/notes/invest-in-the-few/">Read note: Invest in the Few</a>	jorap-notes Eternal Principles Jesus Rhythms
Platform before presence with anyone - stage over room. What's the move?	Be with them - then send out.<br><br><a href="https://www.jorap.com/notes/invest-in-the-few/">Read note: Invest in the Few</a>	jorap-notes Eternal Principles Jesus Rhythms
Teaching crowds, no one knows me up close - distant teacher mode. What's the move?	Room first - not only the stage.<br><br><a href="https://www.jorap.com/notes/invest-in-the-few/">Read note: Invest in the Few</a>	jorap-notes Eternal Principles Jesus Rhythms
Hoarding truth in my head, no one to pass it to - solo expert. What comes first?	Few first - then multiply.<br><br><a href="https://www.jorap.com/notes/invest-in-the-few/">Read note: Invest in the Few</a>	jorap-notes Eternal Principles Jesus Rhythms
Favoritism fear keeps me shallow with everyone - afraid to go deep. What's the move?	Depth before send - not elitism.<br><br><a href="https://www.jorap.com/notes/invest-in-the-few/">Read note: Invest in the Few</a>	jorap-notes Eternal Principles Jesus Rhythms
Brother asked if temper matched Bible reading - sting that night. What's the move?	Stay in the friction - love sharpens.<br><br><a href="https://www.jorap.com/notes/iron-sharpens-iron/">Read note: Iron Sharpens Iron</a>	jorap-notes Eternal Principles Community
Small group friend pushed on spending story after I bragged. What's the move?	Receive the push - iron, not jealousy.<br><br><a href="https://www.jorap.com/notes/iron-sharpens-iron/">Read note: Iron Sharpens Iron</a>	jorap-notes Eternal Principles Community
Flattery from church friends - still dull on the real sin. What's the move?	Invite hard follow-up - not safe praise.<br><br><a href="https://www.jorap.com/notes/iron-sharpens-iron/">Read note: Iron Sharpens Iron</a>	jorap-notes Eternal Principles Community
Avoiding the friend who asks the uncomfortable question. What's the move?	Schedule sharpening contact - friction is the point.<br><br><a href="https://www.jorap.com/notes/iron-sharpens-iron/">Read note: Iron Sharpens Iron</a>	jorap-notes Eternal Principles Community
Tempted cruel correction disguised as honesty. What's the move?	Truth in love - sharpen, don&#x27;t shred.<br><br><a href="https://www.jorap.com/notes/iron-sharpens-iron/">Read note: Iron Sharpens Iron</a>	jorap-notes Eternal Principles Community
Sharpening feels like earning favor this week - wrong order?	Already accepted - sharpen as fruit.<br><br><a href="https://www.jorap.com/notes/iron-sharpens-iron/">Read note: Iron Sharpens Iron</a>	jorap-notes Eternal Principles Community
Group chat baited me to fire back - adrenaline up, no verse loaded. What's the move?	Load Scripture before pressure - then answer.<br><br><a href="https://www.jorap.com/notes/it-is-written/">Read note: It Is Written</a>	jorap-notes Eternal Principles Scripture
Tempted to pad the report because nobody would know. What's the move?	Obey what God already said - don&#x27;t invent.<br><br><a href="https://www.jorap.com/notes/it-is-written/">Read note: It Is Written</a>	jorap-notes Eternal Principles Scripture
Hunger, pride, shortcut power - wilderness fork in my chest. What's the move?	Answer from Scripture already loaded.<br><br><a href="https://www.jorap.com/notes/it-is-written/">Read note: It Is Written</a>	jorap-notes Eternal Principles Scripture
Adrenaline hit before I thought - typing the comeback. What's the move?	Stop - answer from what God already said.<br><br><a href="https://www.jorap.com/notes/it-is-written/">Read note: It Is Written</a>	jorap-notes Eternal Principles Scripture
Scrolled outrage all week - baited again, nothing in memory. What comes first?	Reps now - load Scripture before the fork.<br><br><a href="https://www.jorap.com/notes/it-is-written/">Read note: It Is Written</a>	jorap-notes Eternal Principles Scripture
Improvised ethics when cornered - making up my own rule. What's the move?	Use what God already said - not invented.<br><br><a href="https://www.jorap.com/notes/it-is-written/">Read note: It Is Written</a>	jorap-notes Eternal Principles Scripture
Good week at work and I feel spiritually qualified. What checks the motive?	Rest on Christ&#x27;s promise - not the streak.<br><br><a href="https://www.jorap.com/notes/joy/">Read note: Joy</a>	jorap-notes Eternal Principles Fruit
Performing gladness at church, empty at home after. What's missing?	Abide first - fruit from connection.<br><br><a href="https://www.jorap.com/notes/joy/">Read note: Joy</a>	jorap-notes Eternal Principles Fruit
Bad week but still His - where does gospel gladness anchor?	Christ&#x27;s promise - not this week&#x27;s score.<br><br><a href="https://www.jorap.com/notes/joy/">Read note: Joy</a>	jorap-notes Eternal Principles Fruit
Waiting to feel happy before I trust I am saved. Wrong order?	Rest on promise first - gladness follows.<br><br><a href="https://www.jorap.com/notes/joy/">Read note: Joy</a>	jorap-notes Eternal Principles Fruit
Sunday high wore off by Wednesday - performing gladness again. What's the move?	Abide daily - gladness from connection.<br><br><a href="https://www.jorap.com/notes/joy/">Read note: Joy</a>	jorap-notes Eternal Principles Fruit
Compliment at church felt like proof God accepts me. What's the move?	Rest on Christ&#x27;s promise - not applause.<br><br><a href="https://www.jorap.com/notes/joy/">Read note: Joy</a>	jorap-notes Eternal Principles Fruit
Friend's speck obvious; my plank invisible. What do I fix first?	Remove my plank - then help with speck.<br><br><a href="https://www.jorap.com/notes/judge-not/">Read note: Judge Not</a>	jorap-notes Eternal Principles Ethics
About to quote their failure online. Who am I playing?	Not their judge - I needed mercy first.<br><br><a href="https://www.jorap.com/notes/judge-not/">Read note: Judge Not</a>	jorap-notes Eternal Principles Ethics
Condemning someone while excusing the same sin in me. What's the hypocrisy move?	Stop condemning - diagnose myself first.<br><br><a href="https://www.jorap.com/notes/judge-not/">Read note: Judge Not</a>	jorap-notes Eternal Principles Ethics
Ready to call them out in the group chat - same fault lives in me. What comes first?	Own mine first - then speak carefully.<br><br><a href="https://www.jorap.com/notes/judge-not/">Read note: Judge Not</a>	jorap-notes Eternal Principles Ethics
Nitpick someone's parenting while mine's a mess. One check before I speak?	Apply the standard to me first.<br><br><a href="https://www.jorap.com/notes/judge-not/">Read note: Judge Not</a>	jorap-notes Eternal Principles Ethics
Tempted to roast someone else's mess while mine's hidden. What's my move?	Fix my plank - audit myself first.<br><br><a href="https://www.jorap.com/notes/judge-not/">Read note: Judge Not</a>	jorap-notes Eternal Principles Ethics
Mind races to standing before Christ someday - panic that heaven might get revoked. What's this review for?	Works for reward - life already settled.<br><br><a href="https://www.jorap.com/notes/judgment-seat/">Read note: Judgment Seat</a>	jorap-notes Eternal Principles Stewardship
Years of church service feel like my heaven ticket. What actually gets weighed later?	Faithful works for reward - not re-buying life.<br><br><a href="https://www.jorap.com/notes/judgment-seat/">Read note: Judgment Seat</a>	jorap-notes Eternal Principles Stewardship
Quiet Tuesday obedience nobody saw or clapped for. Still counted when Christ reviews?	Father saw it - Christ evaluates.<br><br><a href="https://www.jorap.com/notes/judgment-seat/">Read note: Judgment Seat</a>	jorap-notes Eternal Principles Stewardship
Wood, hay, stubble week - dread like I'm unsaved. Two categories?	Saved - some work burns; standing stays.<br><br><a href="https://www.jorap.com/notes/judgment-seat/">Read note: Judgment Seat</a>	jorap-notes Eternal Principles Stewardship
Ugly week and I keep reopening whether I'm in or out with God. Correct the order?	Justified already - rewards assessed after.<br><br><a href="https://www.jorap.com/notes/judgment-seat/">Read note: Judgment Seat</a>	jorap-notes Eternal Principles Stewardship
Volunteer spotlight week - tempted to coast through the quiet months after. What does the master review?	Faithful use over the whole stretch - not one week.<br><br><a href="https://www.jorap.com/notes/judgment-seat/">Read note: Judgment Seat</a>	jorap-notes Eternal Principles Stewardship
Friend asks if God accepts me yet. I haven't fixed my habits. What's already true at faith?	Declared righteous - Christ&#x27;s record, not mine.<br><br><a href="https://www.jorap.com/notes/justification/">Read note: Justification</a>	jorap-notes Eternal Principles Faith
Guilt says I need one more good week before I'm right with God. Correct the order?	Justified at faith - obedience follows.<br><br><a href="https://www.jorap.com/notes/justification/">Read note: Justification</a>	jorap-notes Eternal Principles Faith
Tempted to treat baptism as the moment God finally said yes. What finished it?	Faith in Christ - declared once.<br><br><a href="https://www.jorap.com/notes/justification/">Read note: Justification</a>	jorap-notes Eternal Principles Faith
Know the justification truth but still feel on probation with God. What changed at faith?	Standing settled - walk is separate.<br><br><a href="https://www.jorap.com/notes/justification/">Read note: Justification</a>	jorap-notes Eternal Principles Faith
Someone says they're 'working toward' being saved. One sentence back?	Trust Christ now - declared righteous at faith.<br><br><a href="https://www.jorap.com/notes/justification/">Read note: Justification</a>	jorap-notes Eternal Principles Faith
Good deed streak broke and panic hit - like heaven access revoked. What's still true?	Standing settled at faith - confess, keep walking.<br><br><a href="https://www.jorap.com/notes/justification/">Read note: Justification</a>	jorap-notes Eternal Principles Faith
Neighbor I'd rather avoid at every game. What's the move?	Act with mercy - person in front counts.<br><br><a href="https://www.jorap.com/notes/kindness/">Read note: Kindness</a>	jorap-notes Eternal Principles Fruit
Polite in the hallway, sharp at home - performance split. What's the move?	Tender regard here too - not performance.<br><br><a href="https://www.jorap.com/notes/kindness/">Read note: Kindness</a>	jorap-notes Eternal Principles Fruit
Coworker apologized again - still counting the misses. What's the move?	Mercy toward them - forgive heart.<br><br><a href="https://www.jorap.com/notes/kindness/">Read note: Kindness</a>	jorap-notes Eternal Principles Fruit
About to quote their failure online. What comes first?	Mercy first - person in front.<br><br><a href="https://www.jorap.com/notes/kindness/">Read note: Kindness</a>	jorap-notes Eternal Principles Fruit
Difficult neighbor at the gate again - avoidance easier than mercy. What's the move?	Act with tender regard - person in front counts.<br><br><a href="https://www.jorap.com/notes/kindness/">Read note: Kindness</a>	jorap-notes Eternal Principles Fruit
Sharp reply drafted about coworker's repeat mistake. What comes first?	Mercy first - delete the post.<br><br><a href="https://www.jorap.com/notes/kindness/">Read note: Kindness</a>	jorap-notes Eternal Principles Fruit
Sunday preaching, weekday integrity split - same fork, different masks. What's the move?	Live one life both days - teach and touch.<br><br><a href="https://www.jorap.com/notes/kingdom-on-the-road/">Read note: Kingdom on the Road</a>	jorap-notes Eternal Principles Jesus Rhythms
Big conference planned, neighbor ignored - stage over street. What's the move?	Next face too - don&#x27;t skip the street.<br><br><a href="https://www.jorap.com/notes/kingdom-on-the-road/">Read note: Kingdom on the Road</a>	jorap-notes Eternal Principles Jesus Rhythms
Sunday preaching, weekday sales, neighbor never gets a visit. What's the move?	One journey - teach, preach, heal together.<br><br><a href="https://www.jorap.com/notes/kingdom-on-the-road/">Read note: Kingdom on the Road</a>	jorap-notes Eternal Principles Jesus Rhythms
Announce kingdom but hands stay clean of hurting people. What's the move?	Teach and touch - together.<br><br><a href="https://www.jorap.com/notes/kingdom-on-the-road/">Read note: Kingdom on the Road</a>	jorap-notes Eternal Principles Jesus Rhythms
Hoard truth in one comfortable town - other cities never hear. What's the move?	Other cities - keep going.<br><br><a href="https://www.jorap.com/notes/kingdom-on-the-road/">Read note: Kingdom on the Road</a>	jorap-notes Eternal Principles Jesus Rhythms
Word without deed on Tuesday - talk only, no touch. What's missing?	Touch too - word and deed together.<br><br><a href="https://www.jorap.com/notes/kingdom-on-the-road/">Read note: Kingdom on the Road</a>	jorap-notes Eternal Principles Jesus Rhythms
Junior wants the easier shift and I'm eyeing the same slot. One move before I grab it?	Let them pick first - serve before credit.<br><br><a href="https://www.jorap.com/notes/law-of-addition/">Read note: Law of Addition</a>	jorap-notes Eternal Principles Leadership
